ts,node,pressure_psi,flow_lps,consumption_lps,tank_level_pct,census_value
2026-02-12T05:00,RES,42.26,10.92,1.66,71.26,500
2026-02-12T05:00,IND,39.1,47.25,2.12,71.33,620
2026-02-12T05:00,EMERG,56.83,24.02,4.4,70.55,700
2026-02-12T05:00,MARKET,52.19,63.18,3.52,69.08,620
2026-02-12T06:00,Source,62,42.65,4,79.94,0
2026-02-12T06:00,HOSP,46.53,24.94,3.65,71.19,700
2026-02-12T06:00,FIRE,45.22,18.68,4.39,69.92,700
2026-02-12T06:00,SCHOOL,50,25.55,2.33,69.74,620
2026-02-12T06:00,RES_A,68.64,52.74,6.19,70.54,500
2026-02-12T06:00,RES_B,58.45,37.99,6.07,68.18,500
2026-02-12T06:00,RES,72.11,41.13,6.67,69.82,500
2026-02-12T06:00,IND,70.32,38.94,7,68.57,620
2026-02-12T06:00,EMERG,45.48,41.33,6.72,67.2,700
2026-02-12T06:00,MARKET,40.8,70.49,2.07,68.98,620
2026-02-12T07:00,Source,62,36.26,3.96,79.79,0
2026-02-12T07:00,HOSP,59.48,67.04,7.02,66.87,700
2026-02-12T07:00,FIRE,50.12,12.38,8.68,67.09,700
2026-02-12T07:00,SCHOOL,56.16,22.79,2.69,66.26,620
2026-02-12T07:00,RES_A,60.74,69.84,1.49,66.17,500
2026-02-12T07:00,RES_B,37.16,19.25,2.68,69.1,500
2026-02-12T07:00,RES,61.21,55.86,4.1,65.98,500
2026-02-12T07:00,IND,65.1,34.21,1.52,68.1,620
2026-02-12T07:00,EMERG,65.34,64.35,5.62,66.6,700
2026-02-12T07:00,MARKET,46.04,28.94,3.67,67.47,620
2026-02-12T08:00,Source,62,74.45,4.78,76.21,0
2026-02-12T08:00,HOSP,48.9,22.34,7,64.16,700
2026-02-12T08:00,FIRE,58.78,20.36,3.08,63.84,700
2026-02-12T08:00,SCHOOL,70.34,76.23,6.43,67.22,620
2026-02-12T08:00,RES_A,37.05,35.32,3.35,66.1,500
2026-02-12T08:00,RES_B,45.9,50.91,1.72,64.74,500
2026-02-12T08:00,RES,64.29,34.25,5.93,66.74,500
2026-02-12T08:00,IND,47.3,53.73,5.82,65.84,620
2026-02-12T08:00,EMERG,48.62,26.6,8.38,65.44,700
2026-02-12T08:00,MARKET,66.58,51.34,2.8,65.05,620
2026-02-12T09:00,Source,62,11.3,4.77,75.26,0
2026-02-12T09:00,HOSP,36.71,56.77,5.55,62.22,700
2026-02-12T09:00,FIRE,46.24,13.74,1.87,63.73,700
2026-02-12T09:00,SCHOOL,45.77,60.73,2.82,62.78,620
2026-02-12T09:00,RES_A,62.98,35.59,5.26,64.06,500
2026-02-12T09:00,RES_B,59.51,34.35,5.75,65.02,500
2026-02-12T09:00,RES,60.25,11.22,4.68,62.58,500
2026-02-12T09:00,IND,55.1,59.35,5.21,63.74,620
2026-02-12T09:00,EMERG,40.93,13.49,6.64,64.49,700
2026-02-12T09:00,MARKET,51.5,28.78,1.58,62.02,620
2026-02-12T10:00,Source,62,14.57,3.61,74.34,0
2026-02-12T10:00,HOSP,73.96,27.68,7.47,60.71,700
2026-02-12T10:00,FIRE,67.57,54.14,4.14,61.58,700
2026-02-12T10:00,SCHOOL,45.65,7.43,1.66,61.43,620
2026-02-12T10:00,RES_A,37.71,18.6,2.45,62.22,500
2026-02-12T10:00,RES_B,70.6,54.22,5.48,61.48,500
2026-02-12T10:00,RES,38.73,23.15,4.03,62.43,500
2026-02-12T10:00,IND,69.47,30.26,2.96,62.43,620
2026-02-12T10:00,EMERG,41.78,62.26,4.61,62.66,700
2026-02-12T10:00,MARKET,63.08,27.84,4.07,60.03,620
2026-02-12T11:00,Source,62,25.78,1.91,73.45,0
2026-02-12T11:00,HOSP,48.15,62.23,6.64,61.74,700
2026-02-12T11:00,FIRE,47.23,12.65,7.15,59.16,700
2026-02-12T11:00,SCHOOL,68.83,45.92,1.54,62.09,620
2026-02-12T11:00,RES_A,45.93,59.11,4.19,58.82,500
2026-02-12T11:00,RES_B,71.12,36.69,5.07,60.86,500
2026-02-12T11:00,RES,61.4,46.28,1.35,58.39,500
2026-02-12T11:00,IND,59.36,16.25,3.66,61.58,620
2026-02-12T11:00,EMERG,68.45,43.87,6.86,59.48,700
2026-02-12T11:00,MARKET,46.92,8.97,1.53,60.1,620
2026-02-12T12:00,Source,62,38.56,1.98,70.58,0
2026-02-12T12:00,HOSP,61.68,55.8,2.41,57.76,700
2026-02-12T12:00,FIRE,41.27,25.97,6.68,56.7,700
2026-02-12T12:00,SCHOOL,49.21,36.43,1.61,59.17,620
2026-02-12T12:00,RES_A,58.55,40.34,3.26,60.33,500
2026-02-12T12:00,RES_B,45.29,24.08,4.4,60.32,500
2026-02-12T12:00,RES,46.36,23.1,1.09,57.04,500
2026-02-12T12:00,IND,41.78,38.16,5.27,56.96,620
2026-02-12T12:00,EMERG,72.66,31.08,3.23,57.07,700
2026-02-12T12:00,MARKET,57.1,18.24,3.85,58.3,620
2026-02-12T13:00,Source,62,51.6,2.78,70.28,0
2026-02-12T13:00,HOSP,43.26,57.34,3.2,56.64,700
2026-02-12T13:00,FIRE,43.32,27.94,6.36,56.4,700
2026-02-12T13:00,SCHOOL,60.65,13.47,2.34,58.3,620
2026-02-12T13:00,RES_A,54.77,27.56,5.12,56.19,500
2026-02-12T13:00,RES_B,41.58,49.76,3.77,56.86,500
2026-02-12T13:00,RES,46.69,48.1,4.85,56.89,500
2026-02-12T13:00,IND,42.42,46.57,1.86,57.82,620
2026-02-12T13:00,EMERG,57.98,24.05,2.99,56.29,700
2026-02-12T13:00,MARKET,42.58,36.01,3.87,58.48,620
2026-02-12T14:00,Source,62,9.24,4.66,67.71,0
2026-02-12T14:00,HOSP,40.3,42.62,1.98,55.56,700
2026-02-12T14:00,FIRE,48.94,62.93,3.24,52.95,700
2026-02-12T14:00,SCHOOL,40.19,11.39,3.28,55.76,620
2026-02-12T14:00,RES_A,56.98,56.79,2.01,56.22,500
2026-02-12T14:00,RES_B,38.94,61.36,1.16,55.08,500
2026-02-12T14:00,RES,39.06,58.5,4.18,53.34,500
2026-02-12T14:00,IND,51.7,9.28,3.43,54.75,620
2026-02-12T14:00,EMERG,48.69,49.21,6.07,52.9,700
2026-02-12T14:00,MARKET,70.14,54.63,1.58,54.67,620
2026-02-12T15:00,Source,62,47.31,2.48,66.27,0
2026-02-12T15:00,HOSP,36.78,19.07,6.87,52.61,700
2026-02-12T15:00,FIRE,46.98,58.05,3.87,52.72,700
2026-02-12T15:00,SCHOOL,42.71,38.71,5.24,52.74,620
2026-02-12T15:00,RES_A,54.4,33.87,5.44,51.86,500
2026-02-12T15:00,RES_B,69.86,57.56,5.1,53.39,500
2026-02-12T15:00,RES,58.19,35.55,5.57,53.51,500
2026-02-12T15:00,IND,59.61,50.32,1.09,54.71,620
2026-02-12T15:00,EMERG,71.5,44.73,1.3,52.3,700
2026-02-12T15:00,MARKET,40.76,48.64,1.65,54.63,620
2026-02-12T16:00,Source,62,39.35,4.85,62.47,0
2026-02-12T16:00,HOSP,69.13,54.78,2.82,49.45,700
2026-02-12T16:00,FIRE,50.3,38.67,2.43,49.62,700
2026-02-12T16:00,SCHOOL,53.19,24.43,5.12,50.69,620
2026-02-12T16:00,RES_A,60.58,21.54,3.27,52.76,500
2026-02-12T16:00,RES_B,56.94,54.36,1.4,50.75,500
2026-02-12T16:00,RES,66.56,29.48,1.95,52.32,500
2026-02-12T16:00,IND,46.94,35.88,3.92,50.43,620
2026-02-12T16:00,EMERG,68.86,61.15,1.9,52.51,700
2026-02-12T16:00,MARKET,73.72,13.82,1.37,53.02,620
2026-02-12T17:00,Source,62,58.73,1.53,60.58,0
2026-02-12T17:00,HOSP,69.29,48.05,7.11,47.75,700
2026-02-12T17:00,FIRE,39.84,59.49,5.34,51.4,700
2026-02-12T17:00,SCHOOL,39.61,33.04,4.49,48.43,620
2026-02-12T17:00,RES_A,39.06,28.39,5.6,50.15,500
2026-02-12T17:00,RES_B,46.67,40.18,2.73,51.05,500
2026-02-12T17:00,RES,38.62,19.15,5.51,49.55,500
2026-02-12T17:00,IND,55.04,10.54,1.32,48.35,620
2026-02-12T17:00,EMERG,53.59,23.64,2.94,50.4,700
2026-02-12T17:00,MARKET,57.85,9.16,3.79,50.24,620
2026-02-12T18:00,Source,62,49.69,6.41,59.81,0
2026-02-12T18:00,HOSP,53.55,23.67,5.02,49.11,700
2026-02-12T18:00,FIRE,54.06,20.85,7.32,48.38,700
2026-02-12T18:00,SCHOOL,56.21,28.45,6.13,46.45,620
2026-02-12T18:00,RES_A,39.2,49.78,4.28,45.78,500
2026-02-12T18:00,RES_B,54.88,26.08,1.35,48.91,500
2026-02-12T18:00,RES,68.16,12.17,6.96,47.2,500
2026-02-12T18:00,IND,55.42,70.52,5.62,45.69,620
2026-02-12T18:00,EMERG,37.37,14.31,1.45,47.65,700
2026-02-12T18:00,MARKET,56.34,59.52,4.09,47.79,620
2026-02-12T19:00,Source,62,71.48,1.8,57.43,0
2026-02-12T19:00,HOSP,58.06,67.37,6.86,46.23,700
2026-02-12T19:00,FIRE,48.99,43.77,5.8,45.39,700
2026-02-12T19:00,SCHOOL,66.3,23.12,3.83,47.14,620
2026-02-12T19:00,RES_A,64.13,60.66,3.33,44.29,500
2026-02-12T19:00,RES_B,54.23,20.95,3.39,47.3,500
2026-02-12T19:00,RES,72.59,12.97,3.62,46.98,500
2026-02-12T19:00,IND,69.91,48.78,1.66,45.82,620
2026-02-12T19:00,EMERG,56.39,64.57,5.54,44.76,700
2026-02-12T19:00,MARKET,43.04,26,4.93,46.99,620
2026-02-12T20:00,Source,62,19.02,1.19,56.28,0
2026-02-12T20:00,HOSP,71.53,75.98,2.98,43.61,700
2026-02-12T20:00,FIRE,49.6,40.06,6.92,44.69,700
2026-02-12T20:00,SCHOOL,60.49,26.78,5.82,45.83,620
2026-02-12T20:00,RES_A,62.28,14.96,3.49,45.07,500
2026-02-12T20:00,RES_B,57.92,74.65,7.38,45.75,500
2026-02-12T20:00,RES,57.19,80.31,1.32,45.36,500
2026-02-12T20:00,IND,50.51,26.55,4.19,45.59,620
2026-02-12T20:00,EMERG,53.58,68.83,7.95,42.48,700
2026-02-12T20:00,MARKET,66.49,62.87,5.76,44.84,620
2026-02-12T21:00,Source,62,15.94,1.16,54.73,0
2026-02-12T21:00,HOSP,37.23,14.26,5.09,42.47,700
2026-02-12T21:00,FIRE,42.67,54.56,2.15,42.22,700
2026-02-12T21:00,SCHOOL,57.39,7.92,2.93,43.38,620
2026-02-12T21:00,RES_A,41.54,22.4,1.8,44.09,500
2026-02-12T21:00,RES_B,46.68,31.33,5.05,42.94,500
2026-02-12T21:00,RES,66.99,56.28,1.99,43.89,500
2026-02-12T21:00,IND,58.06,7.9,5.13,41.56,620
2026-02-12T21:00,EMERG,52.38,33.61,6,40.95,700
2026-02-12T21:00,MARKET,71.81,42.36,1.13,43.87,620
2026-02-12T22:00,Source,62,47.22,4.69,51.89,0
2026-02-12T22:00,HOSP,53.13,57.42,4.45,40.99,700
2026-02-12T22:00,FIRE,51.93,60.79,6.97,40.74,700
2026-02-12T22:00,SCHOOL,53.23,25.11,5.46,40.52,620
2026-02-12T22:00,RES_A,64.42,28.12,1.67,41.4,500
2026-02-12T22:00,RES_B,50.74,47.24,3.35,39.12,500
2026-02-12T22:00,RES,57.29,39.88,5.44,39.73,500
2026-02-12T22:00,IND,45.73,36.4,1.71,41.92,620
2026-02-12T22:00,EMERG,47.1,42.23,6.42,42.3,700
2026-02-12T22:00,MARKET,62.74,11.99,5.4,39.02,620
2026-02-12T23:00,Source,62,17.85,1.64,51.75,0
2026-02-12T23:00,HOSP,51.49,61.01,1.33,37.59,700
2026-02-12T23:00,FIRE,71.15,56.97,4.59,39.69,700
2026-02-12T23:00,SCHOOL,70.6,16.11,1.16,39.92,620
2026-02-12T23:00,RES_A,67.33,34.28,2.22,39.39,500
2026-02-12T23:00,RES_B,62.78,21.32,5.56,38.36,500
2026-02-12T23:00,RES,50.96,45.47,4.22,36.64,500
2026-02-12T23:00,IND,60.74,42.88,4.66,37.23,620
2026-02-12T23:00,EMERG,62.6,21.01,4.99,40.06,700
2026-02-12T23:00,MARKET,57.74,35.42,3.9,36.85,620
